null_x,null_y,null_theta
-2.5007,-1.85418,5.80972
-2.50277,-1.84853,5.80889
-2.5048,-1.84385,5.80831
-2.50584,-1.8414,5.80799
-2.49536,-1.84323,5.81007
-2.51071,-1.82984,5.80577
-2.51163,-1.82759,5.80547
-2.51312,-1.82355,5.80516
-2.51256,-1.82321,5.80556
-2.51368,-1.81961,5.80492
-2.51448,-1.81749,5.80459
-2.51613,-1.81315,5.80401
-2.5171,-1.81074,5.80374
-2.51893,-1.80611,5.80286
-2.5199,-1.80366,5.8023
-2.50962,-1.8054,5.80456
-2.49919,-1.80892,5.80725
-2.52489,-1.79029,5.80042
-2.52639,-1.78601,5.79946
-2.52676,-1.7841,5.79924
-2.52865,-1.77956,5.79846
-2.53008,-1.77637,5.79786
-2.53262,-1.77045,5.79663
-2.53351,-1.76807,5.79595
-2.53515,-1.76354,5.79517
-2.53598,-1.7612,5.79476
-2.53715,-1.75698,5.7943
-2.53811,-1.75471,5.79399
-2.53946,-1.75053,5.79304
-2.54012,-1.74841,5.79273
-2.54141,-1.7443,5.7921
-2.54214,-1.74206,5.79175
-2.54496,-1.73554,5.79036
-2.54741,-1.72846,5.78875
-2.5482,-1.72607,5.78833
-2.54954,-1.72175,5.78764
-2.55005,-1.71978,5.78752
-2.55126,-1.7157,5.78661
-2.55187,-1.71358,5.78629
-2.55302,-1.7095,5.78567
-2.55364,-1.7073,5.78532
-2.55685,-1.69878,5.78332
-2.55841,-1.69405,5.78237
-2.55912,-1.69174,5.78197
-2.56031,-1.68749,5.78126
-2.56072,-1.6856,5.78103
-2.56185,-1.68147,5.78005
-2.5624,-1.67937,5.77974
-2.56344,-1.67534,5.77912
-2.54085,-1.68593,5.78472
-2.55316,-1.67569,5.7811
-2.56823,-1.66035,5.77587
-2.56853,-1.65826,5.77556
-2.56991,-1.65394,5.77479
-2.57023,-1.65211,5.77455
-2.57125,-1.64797,5.77363
-2.57267,-1.64196,5.77266
-2.57313,-1.63992,5.77234
-2.57403,-1.63594,5.77169
-2.57648,-1.62801,5.76972
-2.55414,-1.63827,5.77509
-2.57857,-1.61947,5.7682
-2.57946,-1.61539,5.76724
-2.57991,-1.61333,5.76681
-2.58115,-1.60737,5.76587
-2.58192,-1.60354,5.76525
-2.58197,-1.60172,5.76497
-2.58422,-1.59441,5.76309
-2.58568,-1.58788,5.76188
-2.58644,-1.58393,5.76108
-2.58686,-1.58184,5.76039
-2.58758,-1.57801,5.7598
-2.58863,-1.57219,5.75885
-2.58968,-1.56636,5.75743
-2.59009,-1.56424,5.75709
-2.5795,-1.56594,5.75905
-2.59226,-1.55357,5.75502
-2.59262,-1.55157,5.75425
-2.59326,-1.54774,5.75363
-2.59359,-1.54572,5.7533
-2.59447,-1.54002,5.75233
-2.59469,-1.53655,5.75129
-2.59533,-1.53437,5.75087
-2.59574,-1.53089,5.75034
-2.5974,-1.52366,5.74874
-2.57501,-1.53506,5.75384
-2.59853,-1.516,5.74689
-2.59904,-1.51224,5.74625
-2.59929,-1.51035,5.74592
-2.5881,-1.51371,5.74781
-2.57732,-1.51839,5.75042
-2.60007,-1.50039,5.74388
-2.58987,-1.50186,5.74538
-2.57881,-1.50668,5.74764
-2.60246,-1.48739,5.74059
-2.6029,-1.4837,5.73994
-2.6035,-1.47828,5.73856
-2.60366,-1.47656,5.73813
-2.60347,-1.47397,5.73782
-2.60331,-1.47273,5.73773
-2.6048,-1.46553,5.73608
-2.60516,-1.46194,5.73526
-2.60536,-1.46003,5.73492
-2.59412,-1.46357,5.73765
-2.58336,-1.46836,5.74019
-2.60629,-1.44943,5.73317
-2.60592,-1.44703,5.73292
-2.60573,-1.44589,5.7331
-2.59394,-1.4499,5.73574
-2.60712,-1.43561,5.73078
-2.60725,-1.43379,5.73037
-2.60766,-1.4284,5.72967
-2.60794,-1.42327,5.72863
-2.60742,-1.42102,5.72831
-2.60716,-1.41686,5.72805
-2.60718,-1.41514,5.72775
-2.60823,-1.40838,5.72595
-2.6084,-1.40492,5.72534
-2.6085,-1.40308,5.72517
-2.5971,-1.40691,5.72754
-2.58594,-1.41215,5.73009
-2.59651,-1.40314,5.72689
-2.60759,-1.39194,5.72354
-2.58517,-1.40431,5.72918
-2.60826,-1.38402,5.72163
-2.60843,-1.3788,5.72067
-2.60848,-1.37545,5.72013
-2.60848,-1.37377,5.71971
-2.6077,-1.37187,5.71949
-2.60735,-1.37083,5.71933
-2.60716,-1.36798,5.71904
-2.60705,-1.36649,5.71887
