ceres_null_x,ceres_null_y,ceres_null_theta
-2.48925,-2.10852,5.9263
-2.49082,-2.10444,5.92763
-2.49417,-2.09486,5.92852
-2.49573,-2.09076,5.92997
-2.49898,-2.08093,5.93089
-2.50049,-2.07677,5.93236
-2.50359,-2.06696,5.93341
-2.50658,-2.05721,5.93455
-2.50766,-2.05227,5.93491
-2.50873,-2.04734,5.93531
-2.51096,-2.03613,5.93423
-2.51172,-2.03069,5.93368
-2.51247,-2.02528,5.93314
-2.51322,-2.0199,5.93263
-2.51397,-2.01455,5.93214
-2.51601,-2.00354,5.93118
-2.51674,-1.99827,5.93074
-2.51747,-1.99302,5.93033
-2.5194,-1.98213,5.92945
-2.52125,-1.97128,5.9286
-2.52193,-1.96612,5.92828
-2.5226,-1.96099,5.92799
-2.52326,-1.95588,5.92772
-2.52393,-1.95079,5.92749
-2.52431,-1.94521,5.92634
-2.52468,-1.93966,5.9252
-2.52497,-1.93385,5.92372
-2.52522,-1.9283,5.92226
-2.52549,-1.92269,5.92081
-2.52576,-1.91713,5.91938
-2.52693,-1.90611,5.91746
-2.52718,-1.90066,5.91606
